Question,Answer
Does Life Insurance Count Net Worth?,"If your question is about applying for life insurance, the answer is yes. An underwriter will want to know your net worth along with your annual income and time in your current occupation. This information is needed in addition to height, weight, age, place of residence, health, medical history and lifestyle. All of these factors are used to calculate your mortality. If your question is about counting life insurance as an asset in your net worth, the answer is maybe. If you have term life insurance, then no, the face amount is not counted as an asset. However if you have a cash value plan, yes the current cash value of your whole life or universal life insurance is part of a person's net worth.. 
"
Is Xalatan Covered By Medicare?,"Xalatan is a prescription medication used to treat glaucoma. The drug is available on an outpatient basis in a retail pharmacy or via mail order. Outpatient medications are covered under Medicare Part D, available from a private insurance carrier. Check your drug plan formulary to learn if the drug is covered and your out of pocket share. 
"
Can You Roll A 401K Into A Variable Annuity?,"Yes, you can roll a 401(k) into a Variable Annuity as long as the Variable Annuity is a qualified account, an IRA. Be sure to look closely at Variable Annuities. I don't usually recommend rolling a 401(k) into these as there is market risk meaning you can lose the money you have worked so hard for. Be sure you understand the pro's and con's in relation to what your goals are. Seek an adviser or contact me if you want to look at some recommendations based on what your future goals are. 
"
How Much To Budget For Homeowners Insurance?,"If you are contemplating the purchase of a home, the realtor can give you an estimate of the cost of a homeowners policy. Of course, a trusted insurance agent can provide a tailored made quote quickly. The agent should be able to guide you as you select appropriate limits, and set deductibles. Price is not the most important thing. Having the correct coverage at the time of loss is the most important thing, which is the value of the trusted insurance agent. 
"
Can I Put Insurance On An Automobile I Don't Own?,"In general, no, not for physical damage to the car. To insure property you need to have an insurable interest in the property you're protecting. In other words, you have to have something at risk. If you don't own it, what do you have at risk? This why titling is so important. You could, theoretically, put insurance on a car you don't own and not tell the insurance company that it's not titled to you. Hopefully, your insurance agent is experienced and professional enough to ask who the car is titled to, but it doesn't always happen. So, say you've insured this car you don't own and you get into an accident. You submit your claim to your insurance company to get your car repaired. One of the first questions a claims adjuster will ask is ""who is the car titled to?"". If the answer isn't you, you've got a problem. The insurance company will only pay the registered owner of the car. They are the only party that has a loss. The only exception to this is if the car is financed or leased. In this case, the finance company will require, as part of the contract, to be listed as a loss payee. This entitles them to collect on the damage to that car. That's how it applies to physical damage. For liability or injury, it's different. Here, the insurance follows the insured. You could, theoretically, get liability insurance without owning the car you're driving. Again, your agent will ask who owns the car, and they'll believe what you tell them. If a claim happens for injury or liability, they will protect you, the insured. I don't know why you'd want to insure a car you don't own, but I have an idea. It could be that a friend or relative is loaning you a car because you don't have one of your own or it could be that a child, or someone else in your household owns this car but doesn't want to, or can't, insure it themselves because they're young and it's expensive, or they have such a bad driving record they just plain can't get insurance. Either way, don't get yourself in a situation where you have to lie to your insurance company or agent. If something happens, the truth will come out and you may not get anything out of it anyway. Be smart. Find an agent you can trust and be truthful with him/her. They'll tell you the right way to do it so that you don't put yourself or your family at risk. 
"
How Much Is Renters Insurance For College Students?,"--> Normal 0 Before college students consider purchasing renters insurance, which I would refer to as tenant-homeowners insurance, I suggest they make the effort to find out if they are already afforded coverage by their familys homeowners or tenant-homeowners insurance. Students who maintain their primary residence as their familys home should be considered insureds under their parents policy. As an insured, their personal property should be covered anywhere in the world and in particular, at a temporary residence. In many cases, the coverage afforded by the familys policy will better than coverage they could buy on their own. Thats the first place I would check and I would get the response confirmed in writing. There may be limitations and deductibles to consider but in most cases the basic coverage should be adequate to cover most situations. Personal liability coverage should be available as well. For students who are no longer residents of their parents household (emancipated) or for parents who fear the impact of claims on their coverage, a separate policy could be considered. Insurers may be more reluctant to cover students on their own while at school but coverage should be available. A good place to start may be the parents insurer or agent. Basic policies with a $10,000-15,000 personal property limit should cost $200-300 a year. Coverage will be limited to specifically named perils, deductibles will apply and property will be covered for its actual cash value (not the cost to replace an old item with a new one). If replacement cost coverage is available, I suggest you consider adding it. 
"
What Should I Know About Annuities?,"Non-qualified deferred annuities accumulate tax deferred. If you annuitize your annuity for lifetime income you cant out live, the basis is paid over your life expectancy tax free as part of the payment until its exhausted. Mortality credits are added to the interest rate crediting a stream of income that can be competitive with other interest bearing accounts. 
"
What Do Employers Pay For Health Insurance?,"That is a great question! The rates paid by an employer will depend on a couple of things. The size of the workforce to be covered, the type of benefit plans to be offered, and the healthiness of the workers for example. A workplace where many claims are filed will pay more than one where few claims are filed, and a company that offers only a bare bones plan will pay less than one that offers several tiers or options in their plans. Regardless, they will pay a lot, Group plans can be expensive. If you have more questions, contact me, I'm happy to help. Thanks for asking! 
"
Does Medicare Cover Zostavax Vaccine?,"Zostavax is a vaccine for herpes zoster (chicken pox). The drug should be administered by your doctor or other trained medical personnel. Your doctor is allowed to bill Medicare for his or her services but cannot bill Medicare for the cost of the medication. Some drug stores have people on staff who will administer the drug 
"
What Affects Homeowners Insurance Premiums?,"There are many factors. The reconstruction value of your home and other structures on the property. The amount of personal property that you have. Your claim history. Your credit level. Do you insure your home and auto with the same company. The age of you home. The geographic location. And more. This is just to name the ones that pop up immeadiately. 
"
What Health Insurance Plans Cover Maternity?,"The answer t your questions depends on a couple factors like location as insurance is sold sate by state. The easy answer is GROUP insurance. If you have insurance provided by your employer, you likely have maternity. Blue Cross has a maternity rider you can add at time of application. It is expensive and you have to have it several months before the pregnancy. The Affordable Care act fully implemented January 2014 includes maternity. If you are already pregnant, you OBGYN will work with you on payments. Should there be a medical emergency your insured wife will get the medical attention she needs as will the baby AND the mother your child is born he/ she is covered on your existing plan. You have 30 days to inform your carrier so the new born can be added to the policy. 
"
Will Home Insurance Pay For Roof Replacement?,"It may if your roof was damaged by a covered incident less your policy deductible. Many homeowners policies have a different deductilbe for wind, hail, or roof claims. Please remember every policy is different. Read your policy completely to understand the coverage provided and any exclusions that there may be. 
"
Is A Life Insurance Policy Part Of An Estate?,"With the general exception of life insurance owned by a Irrevocable Life Insurance Trust, life insurance proceeds become part of the estate. This in and of itself may or may not be an issue depending on the size of the total estate assets. If the assets are below the unified credit there shouldn't be any taxes on the life insurance proceeds. 
"
Does Life Insurance Automatically Go To A Spouse?,"Life insurance does not automatically go to a spouse; it goes to whoever the policy owner names as beneficiary. Some married persons leave their life insurance proceeds to charity, or grandchildren, or someone who loaned them money, or their business partners. One of the pluses of life insurance is that is very personal, and will go to whoever you want. 
"
Who Is Policy Owner Of A Life Insurance Policy?,"Personal property always has an owner,whether it's a person or an entity. Life insurance is personal property, so it has an owner. The owner controls all aspects the policyincluding it's beneficiariesand is subject to taxation on any gain in the event that the policy is surrendered, lapsed or annuitized. Ownership has it'sprivilegesand it consequences. 
"
Does Medicare Cover Januvia?,"Medicare covers Januvia by Medicare Part D,the Medicare Prescription Drug Plan. Januvia is an oral medication that helps lower blood sugar and prevent diabetic complications in people with type 2 diabetes. It is not indicated for persons with type 1 diabetes or those with diabetic ketoacidosis. The generic name for Januvia is sitagliptin. 
"
What Are Life Annuities?,"Assuming youre addressing annuities that use the life only option, here are a few talking points. Non-qualified deferred annuities are generally purchased to produce income later on in the life of the annuitant. One option is life only, which generates a guaranteed stream of income for the life of the annuitant, no matter how long they live. You can also purchase an immediate annuity with the same life only option. 
"
Who Can Purchase Homeowners Insurance?,"Homeowners Insurance is protection for the primary home of the titled owner of a house. Thus, the titled owner may purchase homeowners insurance for his/her home.The homeowners insurance contract has a conditional clause stating that without ownership, there is no coverage. It is important to review the definitions section of the homeowners contract to assure that coverage is intact per the contract. If you are in the process of purchasing a home, it is common to obtain a quote and purchase insurance a few days prior to the close of escrow; this is done in order to have the insurance in place prior to the transfer of ownership. A mortgage loan cannot be funded without the security of insurance to release the funds. For a quote online, you may go to: WEBSITELINK 
"
How Much Is Individual Health Insurance In New Jersey?,"It varies from person to person. Your age, where you live, if you use tobacco products, and if you qualify for a subsidy to reduce your premium will determine how much a good policy is going to cost. Under the Affordable Care Act, you have the options for bronze, silver, gold, and platinum level plans (as you go up in metal, the price goes up, but provides better benefits) - some areas also have a catastrophic plan available. In addition, your age is a big factor as well. The younger you are, the cheaper your premium - the older you are, the higher your premium. Also, if you use tobacco products, your premium can be increased up to 50% as well. All of the plans offer good coverage. A silver or gold plan are your middle of the road type of plans because they provide strong coverage at an affordable price. I always recommend consulting with an experienced health insurance broker before you apply for anything. We can help you determine the plan that's going to be most suitable for your needs and budget. I hope the information is helpful - please feel free to contact me for help and if you have any other questions. Thanks very much. 
"
What To Look For In A Good Health Insurance Plan?,"The definition of ""good"" varies from person to person and business to business. However, here are some of the aspects of a health insurance policy I advise my clients to be aware of and comfortable with: 1) Are the doctors, hospitals and pharmacies you want to use in-network providers with the health insurance plan you are considering? 2) What would your coverage be (if any) if you want to use a health care provider who is not an in-network provider with the health insurance plan you are considering? 3) What is the pharmacy benefit under the health plan you are considering? And, if you have specific prescription drug needs are they covered under the health insurance plan's prescription formulary and to what extent are they covered (copays, co-insurance, deductible & co-insurance)? 4) Does the health insurance plan allow its members to go directly to specialists such as cardiologists or does it require that you are referred to a specialist by your primary care physician first? 5) If you travel regularly outside of your home area (to other states or outside the USA) does the health plan provide for coverage outside of your home service area in the event you need non-emergency care? 6) Is the health insurance company you are considering a well established national or regional health insurance carrier with strong finances or is it one of the new, experimental Co-Op health plans recently established under the provisions of ObamaCare? 7) Does the overall value proposition of the health insurance plan you are considering meet your current and anticipated needs? In other words, does its monthly premium, coverage levels and provider network really work for you. 
"
Does Suze Orman Hate Whole Life Insurance?,"Suze Orman usually does not recommend Whole Life Insurance because she feels that Life Insurance is not needed in Retirement. In reality, most retirees have a need for at least a basic amount Life Insurance, if not more. And Term Insurance will eventually become unaffordable because of age. So most people at least have a small need for Whole Life Insurance, or some other type of Permanent Life Insurance. 
"
How Much Does It Cost To Add A Named Driver To Car Insurance?,"This is nearly impossible to answer as the rate that is charged for each insured on an auto policy is going to vary based on the factors that are used by the carrier to determine the rate. Contact your local agent and discuss your coverage needs with them, they should be able to provide you with coverage and pricing information for your area. 
"
Is Disability Insurance The Same As Workers Compensation?,"No, they are not the same. Workers compensation will not cover you if you get hurt outside of work, or if you suffer from an illness that was not caused by your work surroundings. Disability Insurance would protect your income if you broke your leg skiing (outside of work), got in a car crash, got cancer, etc. 
"
When Was Universal Life Insurance Created?,"Although there were similar products introduced in the 1970's, most life insurance companies started carrying Universal Life as a part of their portfolio by the early to mid 1980's. The high interest rates offered at that time made them very popular to consumers looking for a return on their life insurance premiums. 
"
